id,language,O_MC,O_WID,O_SID
aey,Amele,-0.5125,1.208350982,NA
amp,Alamblak,-0.428846154,1.161316764,NA
ape,Bukiyip,-0.502173913,0.927140001,NA
apu,Apurin_,-0.566071429,1.656120016,NA
arn,Mapudungun,-0.535185185,1.226694237,NA
arz,Egyptian Arabic,-0.40862069,1.972694982,NA
bsn,Barasana-Eduria,-0.475925926,1.117667859,NA
cha,Chamorro,-0.551923077,1.295012745,NA
ckt,Chukchi,-0.501724138,NA,NA
deu,German,-0.494827586,1.22496621,1.166903724
dgz,Daga,-0.422916667,1.116126897,NA
ell,Modern Greek,-0.422413793,1.426460344,NA
eng,English,-0.605172414,1.142881914,1.325642117
eus,Basque,-0.260344828,1.674947283,0.994370969
fij,Fijian,-0.725,0.967271222,NA
fin,Finnish,-0.49137931,1.626452999,0.92139192
fra,French,-0.467241379,1.190870432,1.229228021
gug,Paraguayan Guaran_,-0.362,1.632433358,NA
hae,Eastern Oromo,-0.4535714,1.432461276,NA
hau,Hausa,-0.667241379,1.298183416,NA
hin,Hindi,-0.47,1.190718518,NA
ind,Indonesian,-0.70862069,1.335363339,NA
jac,Popti',-0.5375,1.060946276,NA
kal,Kalaallisut,-0.351724138,3.007398497,NA
kat,Georgian,-0.407407407,1.60981391,0.982535659
kew,West Kewa,-0.425,1.162079661,NA
khk,Halh Mongolian,-0.531034483,1.636872337,NA
kor,Korean,-0.618518519,2.095885477,1
laj,Lango (Uganda),-0.5125,1.392269587,NA
mig,San Miguel El Grande Mixtec,-0.656896552,1.233663636,NA
mph,Mawng,-0.343181818,NA,NA
mya,Burmese,-0.718518519,3.478319411,NA
mzh,Wich_ Lhamt_s G_isnay,-0.567307692,1.32783571,NA
naq,Nama (Namibia),-0.505769231,1.253448071,NA
pes,Western Farsi,-0.42037037,1.267288241,NA
plt,Plateau Malagasy,-0.680357143,1.391769271,NA
qvi,Imbabura Highland Quichua,-0.475,1.52283774,NA
rus,Russian,-0.531034483,1.470514865,1.08372797
sag,Sango,-0.738,0.916205321,NA
spa,Spanish,-0.398275862,1.229351031,0.99879459
swh,Swahili,-0.323214286,1.918568277,NA
tgl,Tagalog,-0.55,1.245466263,NA
tha,Thai,-0.861111111,1,NA
tur,Turkish,-0.248275862,1.867617971,0.969960023
vie,Vietnamese,-0.855357143,1.228649249,NA
xsu,Sanum_,-0.734,0.609211302,NA
yad,Yagua,-0.5,1.601337566,NA
yaq,Yaqui,-0.5125,1.01235749,NA
yor,Yoruba,-0.839655172,1.125213731,NA